Код;Подстанция;Присоединение;Устройство РЗА;2015 дата;Тип терминала;2015;2016;2017;2016 дата;2018;2021;2019;2020;Посл_пров;Дата_посл_пров;ЦСРЗАИ;Ввод в эксплуатацию;Количество присоединений;Количество релейных защит;Примечание;Норма времени на Н;Норма времени на  В;Норма времени на К;Норма времени на О;Микроэлектроника;Оформлена документация;Включено в график отключений;Стоимость реконструкции;Год реконструкции;Микропроцессорная;Мастер код;2021 дата;Норма времени на К1;Сортировка ЦДС;Выполнено;Это не РЗА?;Тип присоединения;Реконструкция по ОКС;2017 дата;2022;2023;2024;2025;2018 дата;2026;2027;2028;2029;2030;Количество электроавтоматики;Количество противоаварийной автоматики;2019 дата;Назначение устройства РЗА;Производитель;Тип объекта;Тип устройства;2020 дата;2022 дата
14;110кВ В. Северная;ДГК 2с;РЗ;;REF542+;;к;;8;;;;в;в;05.2020;0;2005;1;2;;;28,80;13,30;2,60;0;0;0;;2024;1;10;;;;0;0;6;0;;;;к;;;;;в;;;;;;1;2;ПС 110;МП;6;
16;110кВ В. Северная;Т-1;РЗ (REF-542 plus);4;REF542+;о;к;;9;о;;;в;в;05.2020;1;2005;1;6;;;88,30;45,10;8,40;0;0;0;;2021;1;10;;88,30;356;0;0;4;0;;;;к;;2;;;в;;;;;;1;2;ПС 110;МП;5;
17;110кВ В. Северная;Т-2;РЗ (REF-542 plus);4;REF542+;о;к;;9;о;;;в;в;05.2020;1;2005;1;6;;;143,00;71,90;14,90;0;0;0;;2021;1;10;;143,00;359;0;0;4;0;;;;к;;2;;;в;;;;;;1;2;ПС 110;МП;5;
18;110кВ В. Северная;Т-1;АРН;;;;к;;9;;;;в;в;05.2020;1;2005;1;1;;;32,50;9,00;5,20;0;0;0;;;0;5;;;355;0;0;4;0;;;;к;;;;;в;;;;;;5;;ПС 110;;5;
19;110кВ В. Северная;Т-2;АРН;;;;к;;9;;;;в;в;05.2020;1;2005;1;1;;;32,50;9,00;5,20;0;0;0;;;0;5;;;358;0;0;4;0;;;;к;;;;;в;;;;;;5;;ПС 110;;5;
20;110кВ В. Северная;Т-1;Автоматика обдува;;;;к;;9;;;;в;в;05.2020;1;2005;1;1;;;13,10;3,00;1,20;0;0;0;;;0;10;;;354;0;1;4;0;;;;к;;;;;в;;;;;;1;;ПС 110;;5;
21;110кВ В. Северная;Т-2;Автоматика обдува;;;;к;;9;;;;в;в;05.2020;1;2005;1;1;;;13,10;3,00;1,20;0;0;0;;;0;10;;;357;0;1;4;0;;;;к;;;;;в;;;;;;1;;ПС 110;;5;
22;110кВ В. Северная;СВВ-10кВ № 1;РЗА;;REF542+;;к;;6;;;;в;в;05.2020;0;2005;1;1;;;37,90;17,70;2,80;0;0;0;;2021;1;10;;;;0;0;6;0;;;;к;;;;;в;;;;;;1;2;ПС 110;МП;5;
23;110кВ В. Северная;СВВ-10кВ № 2;РЗА;;REF542+;;к;;6;;;;в;в;05.2020;0;2005;1;1;;;37,90;17,70;2,80;0;0;0;;2021;1;10;;;;0;0;6;0;;;;к;;;;;в;;;;;;1;2;ПС 110;МП;5;
24;110кВ В. Северная;СВВ-10кВ № 3;РЗА;;REF542+;;к;;6;;;;в;в;05.2020;0;2005;1;1;;;37,90;17,70;2,80;0;0;0;;2021;1;10;;;;0;0;6;0;;;;к;;;;;в;;;;;;1;2;ПС 110;МП;5;
25;110кВ В. Северная;СВВ-10кВ № 4;РЗА;;REF542+;;к;;6;;;;в;в;05.2020;0;2005;1;1;;;37,90;17,70;2,80;0;0;0;;2021;1;10;;;;0;0;6;0;;;;к;;;;;в;;;;;;1;2;ПС 110;МП;5;
26;110кВ В. Северная;ТН-10кВ 1с;Аппаратура;;REF542+;;к;;6;;;;в;в;06.2020;0;2005;1;1;;;13,40;5,30;0,90;0;0;0;;2024;1;10;;;;0;0;6;0;;;;к;;;;;в;;;;;;1;2;ПС 110;МП;4;
28;110кВ В. Северная;ТН-10кВ 2с;Аппаратура;;REF542+;;к;;6;;;;в;в;06.2020;0;2005;1;1;;;13,40;5,30;0,90;0;0;0;;2024;1;10;;;;0;0;6;0;;;;к;;;;;в;;;;;;1;2;ПС 110;МП;4;
29;110кВ В. Северная;ТН-10кВ 3с;Аппаратура;;REF542+;;к;;6;;;;в;в;06.2020;0;2005;1;1;;;13,40;5,30;0,90;0;0;0;;2024;1;10;;;;0;0;6;0;;;;к;;;;;в;;;;;;1;2;ПС 110;МП;4;
30;110кВ В. Северная;ТН-10кВ 4с;Аппаратура;;REF542+;;к;;6;;;;в;в;06.2020;0;2005;1;1;;;13,40;5,30;0,90;0;0;0;;2024;1;10;;;;0;0;6;0;;;;к;;;;;в;;;;;;1;2;ПС 110;МП;4;
35;110кВ В. Северная;ДГК 1с;РЗ;;REF542+;;к;;8;;;;в;в;05.2020;0;2005;1;2;;;28,80;13,30;2,60;0;0;0;;2024;1;10;;;;0;0;6;0;;;;к;;;;;в;;;;;;1;2;ПС 110;МП;6;
36;110кВ В. Северная;ДГК 1с;Автоматика;;САНК;;к;;4;;;в;;в;03.2019;0;2005;1;1;;35;35,00;25,00;7,00;1;0;0;;2021;0;5;;35,00;;0;0;6;0;;к;;;в;;;;к;;;;;3;1;7;ПС 110;МЭ;;6
37;110кВ В. Северная;ДГК 2с;Автоматика;;САНК;;к;;4;;;в;;к;03.2019;0;2005;1;1;;35;35,00;25,00;7,00;1;0;0;;2021;0;5;;35,00;;0;0;6;0;;к;;;в;;;;к;;;;;3;1;7;ПС 110;МЭ;;6
39;110кВ В. Северная;Общеподстанц.;Опер.блокировка;;;;к;;;;;к;;в;03.2019;0;2005;1;1;;6;6,00;4,50;1,00;0;0;0;;2021;0;10;;6,00;;0;1;2;0;;;в;;;;;;;в;;;;3;4;;ПС 110;;;
42;110кВ Технологическая;Т-1;Автоматика обдува;5;;в;;;;;;;к;к;2020;0;1973;1;1;;13;13,10;3,00;1,20;0;0;0;;;0;10;;13,10;;0;1;4;0;;;в;;;;;к;;;;;;8;1;;ПС 110;;7;
43;110кВ Технологическая;Т-1;АРН;;АРТ;;в;;8;;;к;о;к;11.2019;0;2008;1;1;;32;32,50;9,00;5,20;1;0;0;;2025;0;5;;32,50;;0;0;4;0;;;в;;;;;к;;;;;;8;5;7;ПС 110;МЭ;5;
44;110кВ Технологическая;Т-2;РЗ;6;;в;;о;;;;;к;к;2020;0;1973;1;6;;143;143,00;71,90;14,90;0;0;0;6;;0;10;;143,00;;0;0;4;0;12;;в;;;;;к;;;;;;8;1;;ПС 110;;7;
45;110кВ Технологическая;Т-2;Автоматика обдува;6;;в;;;;;;;к;к;2020;0;1973;1;1;;13;13,10;3,00;1,20;0;0;0;;;0;10;;13,10;;0;1;4;0;;;в;;;;;к;;;;;;8;1;;ПС 110;;7;
46;110кВ Технологическая;Т-2;Управление РПН;;;;к;;;;;в;;в;11.2019;0;1973;1;1;;32;32,50;9,00;5,20;0;0;0;1;;0;5;;32,50;;0;0;4;0;;;к;;;;;в;;;;;;8;;;ПС 110;;;
47;110кВ Технологическая;Т-3;РЗ;7;;в;;о;;;;;к;к;2020;0;1974;1;1;;143;143,00;71,90;14,90;0;0;0;6;;0;10;;143,00;;0;0;4;0;12;;в;;;;;к;;;;;;10;1;;ПС 110;;7;
48;110кВ Технологическая;Т-3;Автоматика обдува;7;;в;;;;;;;к;к;2020;0;1974;1;1;;13;13,10;3,00;1,20;0;0;0;;;0;10;;13,10;;0;1;4;0;;;в;;;;;к;;;;;;10;1;;ПС 110;;7;
49;110кВ Технологическая;Т-3;АРН;;АРТ;;в;;8;;;к;о;к;12.2019;0;2008;1;1;;32;32,50;9,00;5,20;1;0;0;;2025;0;5;;32,50;;0;0;4;0;;;в;;;;;к;;;;;;10;5;7;ПС 110;МЭ;5;
50;110кВ Технологическая;ВЛ-35кВ на Аэропорт;РЗА;5;МР-700;в;;;;;;;н;к1;04.2022;0;2020;1;3;;40;38,70;16,90;3,30;0;0;0;5;;1;10;;40,00;;0;0;3;0;;к1;;к;;;;в;;;;;;10;1;4;ПС 110;МП;3;9
51;110кВ Технологическая;ВЛ-35кВ на Осетки;РЗА;6;МР-700;в;;;;;;;н;н;04.2020;0;2020;1;3;;40;38,70;16,90;3,30;0;0;0;5;;1;10;;40,00;;0;0;3;0;;к1;;к;;;;в;;;;;;10;1;4;ПС 110;МП;3;9
52;110кВ Технологическая;СМВ-10кВ 1-3с;РЗА;3;РТ-40 и РВМ-12;в;;;;;;;к;к;2011;0;1973;1;1;;36;36,30;18,30;2,90;0;0;0;2;;0;10;;36,30;;0;0;6;0;;;в;;;;;к;;;;;;10;1;1;ПС 110;ЭМ;3;
53;110кВ Технологическая;СМВ-10кВ 2-4кВ;РЗА;3;РТ-40 и РВМ-12;в;;;;;;;к;к;2011;0;1973;1;1;;36;36,30;18,30;2,90;0;0;0;2;;0;10;;36,30;;0;0;6;0;;;в;;;;;к;;;;;;10;1;1;ПС 110;ЭМ;3;
54;110кВ Технологическая;СМВ-35кВ;РЗА;5;;в;;;;;;к;;к;04.2019;0;1973;1;1;;47;46,60;22,20;3,70;0;0;0;3;;0;7;;46,60;;0;0;3;0;;;в;;;;;к;;;;;;4;1;;ПС 110;;;
56;110кВ Технологическая;ДГК 1с;РЗ;5;РТ-40 и РВМ-12;в;;;;;;;к;к;2020;0;1998;1;2;;29;28,80;13,30;2,60;0;0;0;;;0;10;;28,80;;0;0;6;0;;;в;;;;;к;;;;;;10;1;1;ПС 110;ЭМ;6;
57;110кВ Технологическая;ДГК 1с;Автоматика;;БАНК;;;в;;;к;;;к;11.2021;0;1997;1;1;;;35,00;25,00;7,00;1;0;0;40;2020;0;5;11;;;0;0;6;0;11;;;;в;;;;;к;;;;;1;7;ПС 110;МЭ;;
58;110кВ Технологическая;ДГК 2с;РЗ;6;РТ-40 и РВМ-12;в;;;;;;;к;к;2020;0;1998;1;2;;29;28,80;13,30;2,60;0;0;0;;;0;10;;28,80;;0;0;6;0;;;в;;;;;к;;;;;;10;1;1;ПС 110;ЭМ;6;
59;110кВ Технологическая;ДГК 2с;Автоматика;;REG-DPA;;;в;;;н;;;н;11.2021;0;2021;1;1;;;35,00;25,00;7,00;0;0;0;40;2020;1;5;11;;;0;0;6;0;11;к1;;;к;;;;;в;;;;;1;7;ПС 110;МП;;10
60;110кВ Технологическая;ДГК 3с;РЗ;7;РТ-40 и РВМ-12;в;;;;;;;к;к;2020;0;1998;1;2;;29;28,80;13,30;2,60;0;0;0;;;0;10;;28,80;;0;0;6;0;;;в;;;;;к;;;;;;10;1;1;ПС 110;ЭМ;6;
61;110кВ Технологическая;ДГК 3с;Автоматика;7;САНК-6;в;;;;к;н;;;н;02.2021;0;2021;1;1;;;35,00;25,00;7,00;0;0;0;60;2023;1;5;2;35,00;;0;0;6;0;;к1;;;к;2;;;;в;;;;;1;7;ПС 110;МП;;10
62;110кВ Технологическая;ДГК 4с;РЗ;7;РТ-40 и РВМ-12;в;;;;;;;к;к;2020;0;1998;1;2;;29;28,80;13,30;2,60;0;0;1;;;0;10;;28,80;;0;0;6;0;;;в;;;;;к;;;;;;10;1;1;ПС 110;ЭМ;6;
63;110кВ Технологическая;ДГК 4с;Автоматика;7;БАНК;в;;;;к;в;;;в;11.2021;0;1995;1;1;;;35,00;25,00;7,00;1;0;0;60;2023;0;5;11;35,00;;0;0;6;0;;;;;к;2;;;;в;;;;;1;7;ПС 110;МЭ;;
64;110кВ Технологическая;ТН-10кВ 1с;Аппаратура;3;;в;;;;;;;к;к;2020;0;1973;1;1;;13;13,40;5,30;0,90;0;0;0;1;;0;10;;13,40;;0;1;6;0;;;в;;;;;к;;;;;;4;1;;ПС 110;;3;
65;110кВ Технологическая;ТН-10кВ 2с;Аппаратура;3;;в;;;;;;к;;к;04.2019;0;1973;1;1;;13;13,40;5,30;0,90;0;0;1;1;;0;7;;13,40;;0;1;6;0;;;в;;;;;к;;;;;;4;1;;ПС 110;;;
66;110кВ Технологическая;ТН-10кВ 3с;Аппаратура;2;;в;;;;;;к;;к;04.2019;0;1974;1;1;;13;13,40;5,30;0,90;0;0;0;1;;0;10;;13,40;;0;1;6;0;;;в;;;;;к;;;;;;8;1;;ПС 110;;;
67;110кВ Технологическая;ТН-10кВ 4с;Аппаратура;2;;в;;;;;;;к;к;2019;0;1974;1;1;;13;13,40;5,30;0,90;0;0;0;1;;0;10;;13,40;;0;1;6;0;;;в;;;;;к;;;;;;8;1;;ПС 110;;3;
68;110кВ Технологическая;ЩСН;Аппаратура;6;;в;;;;;;к;;к;2011;0;1996;1;1;;25;25,10;9,80;1,50;0;0;1;;;0;10;;25,00;;0;1;7;0;;;в;;;;;к;;;;;;12;7;;ПС 110;;;
71;110кВ Технологическая;Общеподстанц.;Центральная сигн.;6;;в;;;;;;;;к;2011;0;1973;1;1;;;25,10;14,70;2,80;0;0;0;80;2023;0;10;;;;0;1;7;0;;;в;;;;;;;;;;;;8;;ПС 110;;;
72;110кВ Технологическая;Общеподстанц.;БПРУ №1,2;6;;в;;;;;;;к;к;2020;0;1973;2;1;;16;16,00;11,00;1,00;0;0;1;;;0;10;;16,00;;0;1;7;0;;;в;;;;;к;;;;;;10;7;;ПС 110;;3;
73;110кВ Технологическая;ТН-35кВ 1с;Аппаратура;5;;в;;;;;;к;;к;11.2019;0;1973;1;1;;19;19,30;7,80;1,30;0;0;0;1;;0;10;;19,30;;0;1;3;0;;;в;;;;;к;;;;;;10;1;;ПС 110;;;
74;110кВ Технологическая;1,4с 10кВ;ЗДЗ;6;;в;;;;;;к;;к;2011;0;1973;1;1;;30;25,00;15,00;3,00;0;0;1;3;;0;7;;10,00;;0;0;6;0;;;в;;;;;к;;;;;;4;1;;ПС 110;ЭМ;;
75;110кВ Городок;Т-1;РЗ;4;;;;;;к;;;;в;05.2022;0;2005;1;6;;;143,00;71,90;14,90;0;0;0;;;0;3;;143,00;;0;0;4;0;11;в;;;;1;к;;;;в;;;;1;;ПС 110;;;7
76;110кВ Городок;Т-1;АРН;;АРТ;;;;;к;;;;в;05.2022;0;2005;1;1;;;32,50;9,00;5,20;1;0;1;;2022;0;3;;32,50;;0;0;4;0;11;в;;;;1;к;;;;в;;;;5;7;ПС 110;МЭ;;7
77;110кВ Городок;Т-1;Автоматика обдува;;;;;;;к;;;;в;05.2022;0;2005;1;1;;;13,10;3,00;1,20;0;0;0;;;0;3;;13,10;;0;1;4;0;11;в;;;;1;к;;;;в;;;;1;;ПС 110;;;7
78;110кВ Городок;Т-2;РЗ;6;;;;к;;;;;;в;05.2022;0;2005;1;6;;;143,00;71,90;14,90;0;0;0;;;0;3;9;;;0;0;4;0;11;в;;;к;;;;;в;;;;;1;;ПС 110;;;7
79;110кВ Городок;Т-2;АРН;;АРТ;;;к;;;;;;в;05.2022;0;2005;1;1;;;32,50;9,00;5,20;1;0;0;;2021;0;3;9;;;0;0;4;0;11;в;;;к;;;;;в;;;;;5;7;ПС 110;МЭ;;7
80;110кВ Городок;Т-2;Автоматика обдува;;;;;к;;;;;;в;05.2022;0;2005;1;1;;;13,10;3,00;1,20;0;0;0;;;0;3;9;;;0;1;4;0;11;в;;;к;;;;;в;;;;;1;;ПС 110;;;7
81;110кВ Городок;ВЛ-35кВ на Селище;РЗА;;;;;;;к;;;;в;06.2022;0;2005;1;3;;;38,70;16,90;3,30;0;0;0;;;0;3;;38,70;;0;0;3;0;8;в;;;;1;к;;;;в;;;;1;;ПС 110;;;8
82;110кВ Городок;ВЛ-35кВ на Чепино;РЗА;;;;;;;к;;;;к;01.2018;0;2005;1;3;;;38,70;16,90;3,30;0;0;0;;;0;3;;38,70;;0;0;3;0;8;в;;;;1;к;;;;в;;;;1;;ПС 110;;;8
83;110кВ Городок;ВЛ-35кВ на Прудок;РЗА;;;;;;;к;;;;в;06.2022;0;2005;1;3;;;38,70;16,90;3,30;0;0;0;;;0;3;;38,70;;0;0;3;0;8;в;;;;1;к;;;;в;;;;1;;ПС 110;;;8
84;110кВ Городок;ВЛ-35кВ на Прудок;ИМФ-1С;;ИМФ-1С;;;;;к;;;;в;06.2022;0;2005;1;1;;;13,70;6,80;1,50;0;0;0;;2021;1;3;;13,70;;0;1;3;0;8;в;;;;1;к;;;;в;;;;6;11;ПС 110;МП;;8
85;110кВ Городок;ВЛ-35кВ на Селище;ИМФ-1С;;ИМФ-1С;;;;;к;;;;в;06.2022;0;2006;1;1;;;13,70;6,80;1,50;0;0;0;;2021;1;3;;13,70;;0;1;3;0;8;в;;;;1;к;;;;в;;;;6;11;ПС 110;МП;;8
87;110кВ Городок;СВВ-10кВ 1с;РЗА;;РТ-40 и РВ-100;;;;;к;;;;в;04.2022;0;2005;1;1;;;37,90;17,70;2,80;0;0;0;;;0;3;;37,90;;0;0;6;0;2;в;;;;1;к;;;;в;;;;1;1;ПС 110;ЭМ;;4
88;110кВ Городок;СВВ-10кВ 2с;РЗА;;РТ-40 и РВ-100;;;;;к;;;;в;04.2022;0;2005;1;1;;;37,90;17,70;2,80;0;0;0;;;0;3;;37,90;;0;0;6;0;1;в;;;;1;к;;;;в;;;;1;1;ПС 110;ЭМ;;4
89;110кВ Городок;СВВ-35кВ;РЗА;;;;;;;к;;;;к;03.2018;0;2005;1;1;;;60,80;30,40;5,10;0;0;0;;;0;3;;60,80;;0;0;3;0;3;в;;;;3;к;;;;в;;;;1;;ПС 110;;;8
90;110кВ Городок;СВВ-10кВ 3с;РЗА;;РТ-40 и РВ-100;;;;;к;;;;в;03.2022;0;2005;1;1;;;37,90;17,70;2,80;0;0;0;;;0;3;;37,90;;0;0;6;0;1;в;;;;1;к;;;;в;;;;1;1;ПС 110;ЭМ;;3
91;110кВ Городок;Общеподстанц.;ЩСН, АВР СН;;;;;;;к;в;;;в;07.2021;0;2005;1;1;;;16,90;8,50;1,90;0;0;0;;;0;3;7;16,90;;0;0;7;0;;;;;к;4;;;;в;;;;;2;;ПС 110;;;
92;110кВ Городок;СВВ-10кВ 4с;РЗА;;РТ-40 и РВ-100;;;;;к;;;;в;03.2022;0;2005;1;1;;;37,90;17,70;2,80;0;0;0;;;0;3;;37,90;;0;0;6;0;2;в;;;;1;к;;;;в;;;;1;1;ПС 110;ЭМ;;3
94;110кВ Городок;ТН-10кВ 1с;Аппаратура;;;;;;;к;;;;в;04.2022;0;2005;1;1;;;13,40;5,30;0,90;0;0;0;;;0;3;;13,40;;0;1;6;0;9;в;;;;4;к;;;;в;;;;1;;ПС 110;;;4
95;110кВ Городок;ТН-10кВ 2с;Аппаратура;;;;;;;к;;;;в;04.2022;0;2005;1;1;;;13,40;5,30;0,90;0;0;0;;;0;3;;13,40;;0;1;6;0;9;в;;;;5;к;;;;в;;;;1;;ПС 110;;;4
96;110кВ Городок;ВЛ-110кВ на Верховье;РЗ (ЭПЗ-1636);;ЭПЗ-1636;к;;;;к;в;;;в;03.2021;1;1988;1;3;;;116,40;58,60;8,10;0;0;0;150;2022;0;2;3;116,40;505;0;0;2;0;;;;к;;10;;в;;;к;;;;1;1;ПС 110;ЭМ;;
98;110кВ Городок;ВЛ-110кВ на Дуброво;РЗ (ЭПЗ-1636);;ЭПЗ-1636;к;;;;к;в;;;в;03.2021;1;1988;1;3;;;116,40;58,60;8,10;0;0;0;150;2022;0;2;3;116,40;511;0;0;2;0;;;;к;;9;;в;;;к;;;;1;1;ПС 110;ЭМ;;
100;110кВ Городок;ВЛ-110кВ на Вит.ТЭЦ;РЗ (ЭПЗ-1636);;ЭПЗ-1636;к;;;;к;в;;;в;03.2021;1;1988;1;3;;;116,40;58,60;8,10;0;0;0;150;2022;0;2;3;116,40;508;0;0;2;0;;;;к;;7;;в;;;к;;;;1;1;ПС 110;ЭМ;;
102;110кВ Городок;1,2сш-110кВ;ДЗШ-110кВ;;;;;;;к;в;;;в;07.2021;1;1988;1;1;;;62,40;36,10;6,90;0;0;0;200;2022;0;2;7;62,40;501;0;0;2;0;;;;к;;2;;в;;;к;;;;1;;ПС 110;ЭМ;;
103;110кВ Городок;1,2сш-110кВ;УРОВ-110кВ;;;;;;;к;в;;;в;07.2021;1;1988;1;1;;;40,00;12,30;7,00;0;0;0;100;2022;0;2;7;40,00;502;0;0;2;0;;;;к;;2;;в;;;к;;;;2;;ПС 110;ЭМ;;
104;110кВ Городок;СОВЭ-110кВ;РЗА (ЭПЗ-1636);;ЭПЗ-1636;;;;;к;в;;;в;03.2021;1;1988;1;3;;;169,10;104,40;13,30;0;0;0;150;2022;0;2;3;169,10;513;0;0;2;0;;;;к;;8;;в;;;к;;;;1;1;ПС 110;ЭМ;;
105;110кВ Городок;ТН-110кВ 1с;Аппаратура;;;;;;;к;в;;;в;04.2021;1;1988;1;1;;;19,30;7,80;1,30;0;0;0;;;0;3;4;19,30;515;0;1;2;0;;;;к;;8;;в;;;к;;;;1;;ПС 110;;;
106;110кВ Городок;ТН-110кВ 2с;Аппаратура;;;;;;;к;в;;;в;04.2021;1;1988;1;1;;;19,30;7,80;1,30;0;0;0;;;0;3;4;19,30;516;0;1;2;0;;;;к;;9;;в;;;к;;;;1;;ПС 110;;;
109;110кВ Городок;ТН-10кВ 3с;Аппаратура;;;;;;;к;;;;в;03.2022;0;2005;1;1;;;13,40;5,30;0,90;0;0;0;;;0;3;;13,50;;0;1;6;0;9;в;;;;5;к;;;;в;;;;1;;ПС 110;;;3
110;110кВ Городок;Общеподстанц.;ЦС ОПУ;;;;;;;;в;;;в;07.2021;0;2005;1;1;;;25,10;14,70;2,80;0;0;0;;;0;3;7;;;0;1;7;0;;;;;;;;;;в;;;;;8;;ПС 110;;;
111;110кВ Городок;Регистратор;ПАРМА;;ПАРМА;;;к;;;в;;;в;05.2021;1;2007;1;1;;;32,00;22,00;4,50;0;0;0;;2021;1;3;5;;512;0;1;;0;2;;;;к;;;;;в;;;;;6;10;ПС 110;МП;;
112;110кВ Городок;1с 10кВ;ЛЗШ;;;;;;;к;;;;в;04.2022;0;2005;1;1;;;25,00;15,00;3,00;0;0;0;;;0;3;;25,00;;0;0;6;0;9;в;;;;5;к;;;;в;;;;1;7;ПС 110;ЭМ;;4
113;110кВ Городок;2с 10кВ;ЛЗШ;;;;;;;к;;;;в;04.2022;0;2005;1;1;;;25,00;15,00;3,00;0;0;0;;;0;3;;25,00;;0;0;6;0;9;в;;;;5;к;;;;в;;;;1;;ПС 110;;;4
114;110кВ Городок;1с 10кВ;ЗДЗ;;;;;;;к;;;;в;04.2022;0;2005;1;1;;;25,00;15,00;3,00;0;0;0;;;0;3;;25,00;;0;0;6;0;9;в;;;;5;к;;;;в;;;;1;;ПС 110;ЭМ;;4
115;110кВ Городок;2с 10кВ;ЗДЗ;;;;;;;к;;;;в;04.2022;0;2005;1;1;;;25,00;15,00;3,00;0;0;0;;;0;3;;25,00;;0;0;6;0;9;в;;;;5;к;;;;в;;;;1;;ПС 110;;;4
116;110кВ Городок;ЩПТ;Схема контроля ЩПТ;;;;;;;к;;;;к;11.2018;0;1988;1;1;;;28,00;20,00;1,00;0;0;0;;;0;5;;28,00;;0;1;7;0;;в;;;;5;к;;;;в;;;;7;;ПС 110;;;5
117;110кВ Городок;Общеподстанц.;ВАЗП №1,2;;;;;к;;;в;;;в;06.2021;0;1988;2;2;;;20,80;6,20;3,20;0;0;0;;;0;5;12;;;0;1;7;0;5;;;;к;;;;;в;;;;;7;;ПС 110;;;
118;110кВ Городок;Общеподстанц.;Опер.блокировка;;;;;;;в;;;;в;11.2018;0;2005;1;1;;6;6,00;4,50;1,00;0;0;0;;;0;3;;6,00;;0;1;2;0;8;;;;;4;в;;;;;;;;4;;ПС 110;;;
119;110кВ Городок;Общеподстанц.;ЦС ОПУ-1;;;;;;;;в;;;в;09.2021;0;1988;1;1;;;25,10;14,70;2,80;0;0;0;70;2022;0;3;8;;;0;1;7;0;;;;;;;;;;в;;;;;8;;ПС 110;;;
120;110кВ Бешенковичи;Т-1;РЗ;;;;в;;5;о;;;к;к;05.2020;0;1987;1;6;;;143,00;71,90;14,90;0;0;0;100;2024;0;8;;143,00;;0;0;4;0;;о;;в;;8;о;;к;;о;;;;1;;ПС 110;;4;9
123;110кВ Бешенковичи;Т-1;Автоматика обдува;;;;в;;5;;;;к;к;05.2020;0;1987;1;1;;;13,10;3,00;1,20;0;0;0;;;0;8;;;;0;1;4;0;;;;в;;;;;к;;;;;;1;;ПС 110;;4;
125;110кВ Бешенковичи;Т-2;РЗ;4;;;в;;6;о;;;к;к;04.2020;0;1987;1;6;;;143,00;71,90;14,90;0;0;0;100;2024;0;8;;143,00;;0;0;4;0;;о;;в;;8;;;к;;;;;;1;;ПС 110;;11;2
127;110кВ Бешенковичи;Т-2;АРН;;МР-851;;в;;6;;;;н;н;08.2020;0;2020;1;1;;;32,50;9,00;5,20;0;0;0;;2025;1;5;;;;0;0;4;0;;к1;;к;;;;;в;;;;;;5;4;ПС 110;МП;11;2
129;110кВ Бешенковичи;Т-2;ФПТ;;ФПТ;;;к;;;;;в;в;09.2020;0;1991;1;1;;;7,20;5,00;1,50;1;0;0;30;2022;0;5;;;;0;1;;0;3;;к;;;;в;;;к;;;;;6;7;ПС 110;МЭ;11;
131;110кВ Бешенковичи;СВВ-10кВ;РЗА;;РТ-40 и РВ-100;;в;;4;;;;к;к;10.2020;0;1987;1;1;;;37,90;17,70;2,80;0;0;0;2;;0;8;;;;0;0;6;0;;;;в;;;;;к;;;;;;1;1;ПС 110;ЭМ;6;
132;110кВ Бешенковичи;ТН-10кВ 1с;Аппаратура;;;;в;;1;;;;к;к;10.2020;0;1987;1;1;;;13,40;5,30;0,90;0;0;0;1;;0;8;;;;0;1;6;0;;;;в;;;;;к;;;;;;1;;ПС 110;;4;
133;110кВ Бешенковичи;ТН-10кВ 2с;Аппаратура;;;;в;;1;;;;к;к;10.2020;0;1987;1;1;;;13,40;5,30;0,90;0;0;0;1;;0;8;;;;0;1;6;0;;;;в;;;;;к;;;;;;1;;ПС 110;;4;
134;110кВ Бешенковичи;ДГК 1с;Автоматика;;БАНК;;н;к1;12;;;;к;к;08.2020;0;1999;1;1;;;35,00;25,00;7,00;1;0;0;54;2016;0;5;;;;0;0;6;0;2;;в;;;;к;;;в;;;;;1;7;ПС 110;МЭ;4;
135;110кВ Бешенковичи;ВЛ-35кВ на Шумилино;РЗА;;;;в;;6;;;;к;к;06.2020;0;1987;1;3;;;38,70;16,90;3,30;0;0;0;80;2024;0;8;;;;0;0;3;0;;;;в;;;;;к;;;;;;1;;ПС 110;;6;
136;110кВ Бешенковичи;ВЛ-35кВ на Бочейково;РЗА;;;;в;;6;;;;к;к;10.2020;0;1987;1;3;;;38,70;16,90;3,30;0;0;0;80;2024;0;8;;;;0;0;3;0;;;;в;;;;;к;;;;;;1;;ПС 110;;6;
137;110кВ Бешенковичи;ТН 35кВ;Аппаратура;;;;в;;6;;;;к;к;10.2020;0;1987;1;1;;;19,30;7,80;1,30;0;0;0;1;;0;8;;;;0;1;3;0;;;;в;;;;;к;;;;;;1;;ПС 110;;4;
140;110кВ Бешенковичи;ВЛ-110кВ на Сватовку;РЗ (ЭПЗ-1636);;ЭПЗ-1636;;в;;7;;;;к;в;05.2020;1;1991;1;3;;;116,40;58,60;8,10;0;0;0;150;2025;0;2;;;270;0;0;2;0;;;;в;;;;;к;;;;;;1;1;ПС 110;ЭМ;5;
141;110кВ Бешенковичи;ВЛ-110кВ на Соржицу;РЗ (ЭПЗ-1636);;ЭПЗ-1636;;в;;7;;;;к;в;08.2020;1;1991;1;3;;;116,40;58,60;8,10;0;0;0;150;2025;0;2;;;271;0;0;2;0;;;;в;;;;;к;;;;;;1;1;ПС 110;ЭМ;5;
