Код;Подстанция;Присоединение;Устройство РЗА;2015 дата;Тип терминала;2015;2016;2017;2016 дата;2018;2021;2019;2020;Посл_пров;Дата_посл_пров;ЦСРЗАИ;Ввод в эксплуатацию;Количество присоединений;Количество релейных защит;Примечание;Норма времени на Н;Норма времени на  В;Норма времени на К;Норма времени на О;Микроэлектроника;Оформлена документация;Включено в график отключений;Стоимость реконструкции;Год реконструкции;Микропроцессорная;Мастер код;2021 дата;Норма времени на К1;Сортировка ЦДС;Выполнено;Это не РЗА?;Тип присоединения;Реконструкция по ОКС;2017 дата;2022;2023;2024;2025;2018 дата;2026;2027;2028;2029;2030;Количество электроавтоматики;Количество противоаварийной автоматики;2019 дата;Назначение устройства РЗА;Производитель;Тип объекта;Тип устройства;2020 дата;2022 дата
2491;110кВ Дуброво;ТН-10кВ 2с;Аппаратура;8;;в;;;;к;;;;к;11.2018;0;1995;1;1;;;13,40;5,30;0,90;0;0;0;1;;0;3;;;;0;1;6;0;;в;;;;4;к;;;;в;;;;1;;ПС 110;;;6
2498;РП-78;РУ-10кВ;РЗА;;МР-500-5, МР-600-2;;к1;;5;в;;;;в;03.2018;0;2013;7;21;;;43,30;29,80;5,20;0;0;0;;;1;9;;;;0;0;6;0;;ос;;;;3;в;;;;ос;;;;1;4;РП;МП;;7
2499;110кВ Замосточье;Общеподстанц.;ОБР;6;;в;;;;;;к;;к;04.2019;0;1986;1;0;;6;6,00;4,50;1,00;0;0;0;60;2023;0;8;;6,00;;0;1;2;0;;;в;;;;;;;;;;;9;4;;ПС 110;;;
2500;ТП-1000 "Лужесно" ВСРЭС;ВВ-10кВ;Управление;;МР-500;;в;;1;;;;к;к;2020;0;2015;1;0;;40;28,80;13,30;2,60;0;0;0;;;1;11;;;;0;0;6;0;;;;в;;;;;;;;;;;1;4;ТП;МП;3;
2501;ТП-291 "Крупенино" БРЭС;РУ-10кВ;РЗА;;БРЗА;к;;;;в;к;;о;к;09.2021;0;1999;5;5;;40;28,80;13,30;2,60;1;0;0;;2025;0;11;9;;;0;0;6;0;;о;о;о;в;11;о;о;о;к;о;;;;1;7;ТП;МЭ;5;7
2503;ТП-446 "Бешенковичи" БРЭС;РУ-10кВ;РЗА;;МР-301-3;;к;;9;;;;в;в;2020;0;2015;3;3;;40;28,80;13,30;2,60;0;0;0;;2027;1;11;;28,80;;0;0;6;0;;;;к;;;;;в;;;;;;1;4;ТП;МП;9;
2505;ТП-202 "Палицы" БРЭС;РУ-10кВ;РЗА;;БРЗА;в;;;;к;в;;;в;03.2021;0;1986;1;1;;40;28,80;13,30;2,60;1;0;0;;2018;0;11;3;;;0;0;6;0;;;;;к;3;;;;в;;;;;1;7;ТП;МЭ;;
2506;ТП-397 "Верховье" БРЭС;РУ-10кВ;РЗА;;РТВ;к;;;;;;в;;к;05.2019;0;1986;2;2;;40;28,80;13,30;2,60;0;0;0;;2019;0;11;;40,00;;0;0;6;0;;;к;;;;;;;;;;;5;1;1;ТП;ЭМ;;
2507;ТП-404 "Сокорово" БРЭС;РУ-10кВ;РЗА;;БРЗА;к;;;;в;к;;;к;12.2021;0;1979;2;2;;40;28,80;13,30;2,60;1;0;0;;2019;0;11;8;;;0;0;6;0;;;;;в;8;;;;к;;;;;1;7;ТП;МЭ;;
2508;ТП-468 "Рубеж" БРЭС;РУ-10кВ;РЗА;;БРЗА;в;;;;к;в;;;в;11.2021;0;1985;2;2;;40;28,80;13,30;2,60;1;0;0;;2018;0;11;11;;;0;0;6;0;;;;;к;8;;;;в;;;;;1;7;ТП;МЭ;;
2509;ТП-376 "д.Низголово" БРЭС;РУ-10кВ;РЗА;;РТВ;к;;к;;;в;;;в;12.2021;0;1993;1;1;;40;28,80;13,30;2,60;0;0;0;;2025;0;11;8;;;0;0;6;0;3;;;;к;;;;;в;;;;;1;1;ТП;ЭМ;;
2511;ТП-76 "Клещено" БРЭС;РУ-10кВ;РЗА;;МР-500-3;к;;;;;;в;;в;07.2019;0;2009;3;3;;40;28,80;13,30;2,60;0;0;0;;2025;1;11;;40,00;;0;0;6;0;;;к;;;;;в;;;;;;7;1;4;ТП;МП;;
2512;ТП-680 "Энергетик" ВСРЭС;РУ-10кВ;РЗА;;МР-301-3;;н;к1;;;о;в;о;к;02.2019;0;2016;3;3;;40;28,80;13,30;2,60;0;0;0;;2019;1;11;6;40,00;;0;0;6;0;11;о;к;о;о;;о;в;о;о;о;;;2;1;4;ТП;МП;5;7
2514;ТП-5 "Ананьино" ВСРЭС;РУ-10кВ;РЗА;;РТВ;;к;;10;;;;в;в;2020;0;1987;1;1;;40;28,80;13,30;2,60;0;0;0;;2020;0;11;;;;0;0;6;0;;;;к;;;;;в;;;;;;1;1;ТП;ЭМ;4;
2515;КРУН "Скрыдлёво"  ВСРЭС;РУ-10кВ;РЗА;;РТВ;;в;;6;;;;к;к;2020;0;1969;1;1;;40;28,80;13,30;2,60;0;0;0;;2024;0;11;;;;0;0;6;0;;;;в;;;;;к;;;;;;1;1;КРУН;ЭМ;3;
2516;ТП-930 "Дыманово" ВСРЭС;РУ-10кВ;РЗА;;РТВ;;;;;;;к;;в;11.2019;0;1989;2;2;;40;28,80;13,30;2,60;0;0;0;;2022;0;11;;40,00;;0;0;6;0;;;в;;;;;к;;;;;;11;1;1;ТП;ЭМ;;
2517;ТП-312 "Подберезье" ВСРЭС;РУ-10кВ;РЗА;;РТВ;к;;;;в;;;;к;05.2022;0;1966;1;1;;40;28,80;13,30;2,60;0;0;0;;2018;0;11;;;;0;0;6;0;;к;;;;9;в;;;;к;;;;1;1;ТП;ЭМ;;5
2518;ТП-573 "Лужесно" ВСРЭС;РУ-10кВ;РЗА;;РТВ;к;;;;;о;в;о;в;05.2019;0;2014;1;1;;40;28,80;13,30;2,60;0;0;0;;2038;0;11;6;40,00;;0;0;6;0;;о;к;о;о;;о;в;о;о;о;;;4;1;1;ТП;ЭМ;5;7
2520;РП -5"Тепличный" ВСРЭС;РУ-10кВ;РЗА;;МР-500-13;;;к;;;в;;;в;2020;0;2008;13;26;;40;28,80;13,30;2,60;0;0;0;;2025;1;11;8;;;0;0;6;0;7;;;к;;;;;в;;;;;;1;4;РП;МП;;
2521;ТП-958 "Мазолово" ВСРЭС;ВЛ-10кВ №799 на ТП-270;РЗА;;МР-500;к;;;;;;в;;;;0;2009;1;1;;40;28,80;13,30;2,60;0;0;0;;2025;1;11;;40,00;;0;0;6;0;;;к;;;;;в;;;;;;11;1;4;ТП;МП;;
